4,12122
4,11076
4,12480
4,11320
4,18627
5,11059
1,38919
4,23029
5,12842
4,21441
2,16938
3,21233
1,20509
1,1082
1,6000
1,5495
1,6622
1,6864
1,5817
1,6289
1,5627
1,6169
3,23379
5,11007
3,1259
4,21823
4,9602
4,11617
4,12581
1,23704
4,21267
4,11082
5,473
2,1652
1,2564
4,2102
1,27678
4,554
2,1521
3,14734
3,2768
3,1822
3,6220
2,8138
4,11116
4,11090
5,980
3,7444
4,4380
4,11123
4,11097
3,11896
1,26487
5,8396
1,2552
3,2220
1,2770
1,31332
1,29095
4,5145
5,5693
5,12974
3,23762
1,30683
5,12808
5,11039
4,20342
2,16818
1,25709
3,21868
4,20326
5,13882
4,19088
4,20829
1,25864
4,18603
2,1292
5,13312
2,1334
3,22111
3,21888
5,13246
1,25851
2,1376
2,16748
2,1418
5,12604
4,15364
4,22181
4,20613
1,21516
4,5380
1,2789
4,21677
2,16211
1,12314
3,11899
1,2926
5,8856
4,8370
4,7119
1,23335
3,23376
1,25848
1,26200
4,9694
4,19074
4,9700
1,3319
4,6056
4,20391
5,9979
4,21034
3,14741
1,25698
3,21440
1,10587
3,14862
3,21486
1,28526
4,6195
1,10742
4,16531
4,18925
4,18897
4,20878
1,3610
4,4920
3,23749
1,29079
1,25513
1,4080
4,19606
1,30968
4,16822
3,15013
4,6437
1,28215
1,25845
4,6464
1,4225
1,12277
3,15128
4,19223
1,17291
3,296
2,16088
3,21450
3,15243
1,30669
1,4369
4,6551
4,4385
4,22226
5,12856
1,4428
3,15246
1,29311
1,29492
3,23457
4,6641
1,25947
1,26028
4,16652
4,20307
1,4431
3,23731
5,12792
3,15249
4,7028
5,1121
5,1281
3,15446
4,7186
1,4434
4,13808
4,21577
5,1381
5,1542
5,1495
1,28046
1,2920
1,25552
1,25641
1,3313
4,20265
5,1966
1,3448
1,25649
4,3054
4,6265
4,399
4,24029
4,24100
4,4188
4,6459
4,4317
4,14746
4,6695
4,18525
5,9761
3,2353
4,6585
2,3562
4,20277
4,23396
4,21781
4,21921
4,6795
4,6994
4,7215
4,14981
4,7130
4,15157
4,22060
4,7416
4,7378
4,7324
4,1830
4,18688
4,7542
4,7598
4,19002
4,7669
4,15324
4,23019
4,15338
4,23168
4,21635
1,3872
4,7904
4,7929
1,3952
4,8011
4,8086
4,8150
4,8295
4,8253
1,4144
1,26311
4,15441
1,26506
1,25977
2,1854
1,3605
4,8389
1,25751
4,8455
4,1949
4,18858
4,19283
1,27283
4,8502
1,7816
4,20764
4,6621
1,13573
2,1864
1,23330
1,25585
1,4635
4,21368
1,30994
1,24740
1,24689
1,23304
1,13739
1,31611
5,10930
3,23340
5,11020
3,22131
4,19726
4,16754
3,23402
2,16809
3,18958
3,22257
3,23049
5,11690
2,14895
3,19948
1,21805
4,17067
5,11296
2,14501
3,20166
1,22023
4,17285
5,11514
2,14719
3,20678
1,22535
4,17797
5,12025
2,15230
3,20343
1,22200
4,17462
4,22421
1,5288
4,21415
3,14739
1,25696
3,21479
2,2606
1,1084
3,21857
1,30672
3,2359
4,21963
1,23911
4,19146
4,22429
5,483
4,20823
4,21241
